gen,ADF,ADICP,aNDF,Ash,Ca,CP,DM,ESC,Fat,K,Lignin,Mg,NDICP,P,Starch,WSC
54,30.7696133603393,0.550392412702369,36.0356836392507,9.46909500642505,1.17185310632289,21.1502171674463,94.5771196407726,6.22606039288044,1.44042546546429,0.605634629834661,6.1690918424318,0.570778451437525,0.913621748959899,0.665320368911017,1.54132119970546,7.9416682830473
55,30.7407956522889,0.542160506579732,36.0677742520954,9.44612754890589,1.16565837285726,21.3379757273206,94.5823878755983,6.21598923622126,1.45982179591698,0.606105887688156,6.10041136173702,0.569632020143498,0.909759307371198,0.665070815221001,1.53503480773236,7.91719305037309
56,30.9933266953905,0.548568283570755,36.2424793386286,9.41414454545265,1.16176823014353,21.3925867273516,94.5794150546607,6.21331292654365,1.55824156639291,0.604618043054255,6.23879424219325,0.573089974828931,0.921472206924105,0.564863978813444,1.54570303891895,7.91100735379104
57,30.4187372634832,0.545960282988483,35.6809133760409,9.43691398233374,1.16189336444796,21.7652020301847,94.5711790720486,6.20837578483376,1.3667073019489,0.606906564108084,6.00387457620456,0.576312566312108,0.914114443610343,0.793474661550148,1.51724945749774,7.90918686062184
58,30.3612456059218,0.539706616720394,35.6163848144198,9.45022546817781,1.16098817311702,21.514209529715,94.5859761920273,6.22756039825778,1.36635275680175,0.60627197252742,6.00319832366909,0.573625992331681,0.915654741499789,0.791044331541578,1.56439985320795,7.9251011376964
59,30.1757054989557,0.542941479789562,35.4046542872548,9.44100770212104,1.16438148932495,21.8024816738431,94.5604384833182,6.2138411796297,1.40794715842723,0.606536357944268,6.00803284486249,0.57419431739243,0.913698136355618,0.767454645965651,1.54519669609979,7.89978046160751
60,30.5186444019891,0.543289499908733,35.7559629352625,9.44571989036233,1.15857194812752,21.4977651015802,94.5705522702421,6.20725187841364,1.40721465944471,0.60603404445486,6.04144351924808,0.570730166520317,0.916255812278324,0.79992352929351,1.53751846284001,7.91142260390793
61,30.562838667228,0.548284860917019,35.6840597787175,9.45145662311505,1.16926869929632,21.7650721486082,94.5640666450323,6.20957714976851,1.44968122108701,0.607732143961975,6.06986575671736,0.578884735193365,0.911909158266025,0.693699560595448,1.51837071855317,7.90705933010411
62,30.6965486268669,0.547330160276449,35.8933021594609,9.46829816752715,1.16849070707117,21.5310285175776,94.578657011826,6.20890779348086,1.41853450917626,0.607318729905254,6.12707316960803,0.568640577007372,0.919295322431429,0.762835212038199,1.53300245533459,7.9089800568924
63,30.6238594846565,0.542908695786922,35.7802671252203,9.43350119726892,1.16368855894793,21.4870699138143,94.576839057266,6.2075742642235,1.38792888510274,0.608364722615148,6.04415497258139,0.573587611916837,0.915764584435012,0.728906558422414,1.54852747227954,7.89901519670699
64,30.0489880735403,0.540630996167145,35.2994655990082,9.46508086601602,1.16428549150254,21.6164946123117,94.58826288195,6.22643403578993,1.37022047129885,0.604990196947054,6.03047603963953,0.571919477287024,0.916688282516792,0.838139651854211,1.60114461081922,7.92383197644295
65,30.680253231702,0.54815933682833,35.907251454691,9.42964535035092,1.16399184981301,21.4318824538901,94.5729138087097,6.21193110966858,1.43153425709557,0.607047991605051,6.06422377258123,0.56950301803562,0.916272952607714,0.721059237666909,1.56287371506832,7.90322837534521
66,30.6494446474494,0.547956333819494,35.7901893678606,9.43025353993428,1.17430525111731,21.3773414775711,94.5604469496742,6.21409918518027,1.42910989303385,0.610185986272561,6.05183599669771,0.573468471510932,0.919767064914441,0.701331321300719,1.55478764590831,7.90585294686786
67,30.2614925438449,0.535506239156246,35.4978642338194,9.43624157694863,1.15184684416882,21.6006950248552,94.5727514278159,6.21219807086425,1.36244895089539,0.606340204105263,6.03232818703147,0.573790351940394,0.914999276771412,0.734086376841916,1.53296413615063,7.91344424529044
68,30.8986855655591,0.551226446201019,36.0098518166345,9.44909242227634,1.162118282745,21.5049304660832,94.5712035429297,6.19712625433681,1.41647184701469,0.608783719844498,6.03409671510858,0.570566442145028,0.920489944866504,0.749075249077067,1.53083986514507,7.89358233359653
69,30.9264369283919,0.549213375717291,36.1731222579041,9.44667159687637,1.15670410142324,21.3347090314373,94.5850653648501,6.21884879176992,1.45839853785418,0.604477654971608,6.17940273713167,0.567925109264921,0.919376432108966,0.686162247731093,1.5285677390356,7.90941710020006
70,30.9115147621364,0.547686939262006,36.3290428195865,9.41919692255401,1.15586660844349,21.2437118312419,94.5963293756469,6.21467373575955,1.46753856994641,0.603644375904976,6.09896939226566,0.569122435458911,0.918098395423883,0.681070251946722,1.54930673417762,7.91767394145982
71,31.1634636370085,0.54527494989069,36.3352446721645,9.38939717204337,1.16898270048201,21.3573353690051,94.5739852282225,6.19837671387884,1.42435417001901,0.606331564246314,6.11601617680354,0.569201778823276,0.91466493711847,0.755263900836732,1.522487595825,7.90378192904925
72,31.0027352843184,0.550726987652965,36.1423043567691,9.41732182846454,1.17522255101083,21.4118500728129,94.5892295334714,6.19134599189116,1.41287938338087,0.607513961017754,6.08953335777971,0.571823820879992,0.920916024616048,0.737680176499613,1.52126872404001,7.90156121405424
73,30.9018172136001,0.544599566393709,36.3183496891911,9.43078382932683,1.16327539409511,21.1759692765105,94.5842623253725,6.20713211967756,1.45044045533978,0.604700773791522,6.08617968821019,0.568581674205247,0.913928696009793,0.671114653735053,1.53486067197233,7.91247313953913
74,30.376980827884,0.548065790807511,35.4431125641584,9.43612422606959,1.17350167925124,21.6487480049397,94.5652088791711,6.21403143948968,1.3937435461474,0.609219647388595,6.05465475265862,0.57929865624138,0.916610400627851,0.704676655790154,1.51383494289859,7.90483515764733
75,30.2159527025505,0.548604738942668,35.4213429065718,9.44280320645526,1.16988073804728,21.9128442956352,94.5602175640787,6.20635534709636,1.36638739799055,0.607130272832401,5.98969925407026,0.574574544435952,0.920494021321369,0.83559389176043,1.53574939184654,7.89337250668865
76,30.1234043944987,0.545885106072065,35.2269444366834,9.43365233344537,1.17038547491498,21.8157869575642,94.5678083928951,6.20394809917729,1.40362334335038,0.607718203639367,5.99800919523671,0.57576999347629,0.917931740114647,0.835452313845755,1.5253985750948,7.89438454860557
77,30.1385041189275,0.542907506117573,35.3016639864973,9.45538796244201,1.1658963814535,21.7544510789762,94.5801091503116,6.21302913561191,1.40562197737634,0.608385336109783,6.01584890232978,0.577268976426183,0.910827810713614,0.790824478520658,1.5246032096382,7.91126337547368
78,30.5119385486645,0.54375121338516,35.6420516059798,9.44093695156328,1.16489433031618,21.7148746236097,94.5748989190494,6.19340544229911,1.36205389616537,0.607247958171118,6.01781717163647,0.575704468016878,0.914371633674354,0.740891961834333,1.51177097530998,7.90672603501951
79,30.5309101740108,0.547350269756143,35.6854561425918,9.43459748944103,1.17495935991879,21.7466837897104,94.5730007043949,6.19328734623277,1.42825400297315,0.6099749890175,6.07853488463769,0.574669684352009,0.914305283583199,0.87435019131199,1.50637398377772,7.88778223424436
80,30.8019225513322,0.544423701283265,36.0455337132424,9.45527546603551,1.16574170775677,21.4276415465756,94.5774278897825,6.20320844665986,1.45365055926885,0.60700981896635,6.11211109152338,0.571410712249485,0.911750043078814,0.772333906698953,1.53324644388793,7.9051056238942
81,30.5928086523034,0.546534535959547,35.6738751855834,9.43975369919823,1.16136267957919,21.506434416767,94.585252168065,6.20637423825066,1.43250748325835,0.606736097419731,6.05642480280559,0.574631972561808,0.911408039434571,0.736207970254172,1.56002684949653,7.89052864855074
82,30.9315459883535,0.545775143094066,36.1822104798429,9.41352154481866,1.16458792596587,21.327867912077,94.5804782619941,6.20877750482797,1.47420177595525,0.603944720986585,6.18058976065639,0.568525897309831,0.91464871363826,0.691693808271534,1.55136573451368,7.90832690447508
83,30.413117647374,0.546009179749554,35.6546128467288,9.44794021046173,1.16917785016976,21.481939244042,94.5713572953427,6.21780133068209,1.44806259731714,0.608059376569241,6.04339790473569,0.573978824529508,0.922479313930359,0.731318111402318,1.54951163310709,7.91394645076662
84,31.0483437395685,0.547087822606361,36.2711470919112,9.46858014628235,1.16544950680407,21.2711305051955,94.5804105563508,6.21160933536859,1.45452581858754,0.606253080809987,6.2208847589892,0.571437353988332,0.919340203178759,0.701424490658053,1.51473781051133,7.92245599276358
85,30.0811420861488,0.545512517065747,35.2144771895078,9.42478495854413,1.15974536633492,21.8901635633618,94.5904707488263,6.20901149785083,1.40692114145912,0.606898563508855,5.99323151689031,0.574077197894605,0.914650868631554,0.792874831646993,1.52599623633385,7.91074088811027
86,30.3588109026212,0.544573190014137,35.5006545973722,9.46795203647496,1.16770855464583,21.80729904707,94.5720233960962,6.21067677875403,1.41608657474546,0.607354667252911,6.07114632172225,0.574888571800857,0.912276161637722,0.768504559953413,1.52116354072351,7.913564310566
